AircraftType,MTOW,AssignedAircraftType
T6,1.969,AT43
TAMP,1.106,AT43
TARR,1.4,AT43
TB05,1.247,AT43
TB20,1.4,AT43
TB21,1.4,AT43
TB30,1.4,AT43
TB31,2.31,AT43
TBEE,1.406,AT43
TBM,7.35,AT43
TBM7,2.984,AT43
TBM8,3.354,AT43
TBM9,3.354,AT43
TEX2,3.13,AT43
TFUN,0.77,AT43
TJET,2.719,AT43
TL20,0.599,AT43
TL30,0.599,AT43
TOBA,1.157,AT43
TOR,21.773,AT76
TOUR,0.599,AT43
TR20,1.247,AT43
TRF1,0.95,AT43
TRIM,1.785,AT43
TRIS,1.785,AT43
TS11,5.22,AT43
TU22,214.6,A332
TU95,214.6,A332
TUCA,2.984,AT43
TUTR,0.45,AT43
TWEN,1.28,AT43
TWIR,1.23,AT43
TWST,0.45,AT43
U15,0.599,AT43
U2,11.009,AT43
U21,4.246,AT43
UF10,0.599,AT43
UF13,0.54,AT43
UT75,0.454,AT43
V22,21.0,AT76
VAMP,5.22,AT43
VC10,140.0,B752
VELO,2.717,AT43
VF14,17.2,AT43
VF35,21.773,AT76
VK3P,1.633,AT43
VO10,1.157,AT43
VTOR,2.13,AT43
VTUR,2.717,AT43
WA40,1.28,AT43
WA41,1.28,AT43
WA42,1.247,AT43
WA50,1.23,AT43
WACF,1.157,AT43
WB57,23.133,AT76
WSP,0.599,AT43
WT9,0.599,AT43
WW23,8.15,AT43
WW24,7.394,AT43
XA41,0.95,AT43
XA42,0.95,AT43
XL2,0.599,AT43
Y12,3.969,AT43
Y12F,7.35,AT43
Y130,7.0,AT43
Y18T,1.157,AT43
YK18,1.28,AT43
YK28,21.773,AT76
YK40,17.2,AT43
YK42,54.0,E190
YK52,1.315,AT43
YS11,22.93,AT76
YURO,7.0,AT43
Z42,1.157,AT43
Z43,1.157,AT43
ZERO,5.08,AT43
ZULU,0.454,AT43
GEMINI,1.4,AT43
LIBERTY,0.73,AT43
VP2,0.5,AT43
GLOBE,0.83,AT43
LZN07,7.8,AT43
NH90,10.08,AT43
LET,1.82,AT43
AS3B,9.29,AT43
BREZ,0.6,AT43
KR2,0.5,AT43
GLASAIR,0.99,AT43
PSW4,1.8,AT43
B222,3.73,AT43
G164A,1.9,AT43
HILLER,1.36,AT43
RELI,1.8,AT43
PEMB,5.7,AT43
YAK9,2.8,AT43
GROB,0.95,AT43
SUKHOI,1.04,AT43
HELIO,1.5,AT43
ROCKWEL,1.4,AT43
OPTICA,1.0,AT43
PZ12,1.2,AT43
B06,1.51,AT43
H60,9.95,AT43
BSTP,7.3,AT43
COMANDE,1.3,AT43
K8,4.3,AT43
B427,2.98,AT43
RHEIN,1.9,AT43
VICTA,0.7,AT43
EXPL,2.91,AT43
A119,2.78,AT43
AS32,8.74,AT43
VALMET,1.9,AT43
CORS,4.9,AT43
PP3,1.5,AT43
SU31,1.1,AT43
CIRRUS,1.48,AT43
FREL,13.0,AT43
MI8,12.59,AT43
GAZL,1.83,AT43
MXS,0.8,AT43
S6,1.0,AT43
CLON,0.6,AT43
ROBIN,1.05,AT43
L13S,0.92,AT43
LYNX,4.83,AT43
ALO3,2.17,AT43
NMCU,0.9,AT43
RUTAN,0.62,AT43
MOTH,0.83,AT43
SV4,0.8,AT43
S76,5.26,AT43
BCAT,5.7,AT43
JODEL,1.2,AT43
ALO2,1.5,AT43
MI26,56.0,E190
DRONE,0.3,AT43
AVIAT,0.71,AT43
DORNIER,1.89,AT43
EC30,2.42,AT43
