,nid,flight_id,flt_num,ifps_id,callsign,airline,airline_type,origin,destination,gcdistance,long_short_dist,sobt,sibt,aircraft_type,mtow,wk_tbl_cat,registration,max_seats,pax_assigned_cc,ecac_200,exclude,prev_flight_nid,source,mandatory,aircraft_id
726,52781,180214800,THY_LTCOLTAC01,AA34941148,THY2ED,THY,FSC,LTCO,LTAC,463,D,2014-09-12 12:40:00,2014-09-12 13:55:00,B738,75,M,TCSBJ,151,145,arr,0,49052.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN167
727,52782,180214801,THY_LTCILTAC02,AA34941206,THY79B,THY,FSC,LTCI,LTAC,491,D,2014-09-12 12:40:00,2014-09-12 14:02:00,B738,75,M,TCSBR,151,126,arr,0,49053.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN225
728,52797,180214816,THY_LTBAOEMA01,AA34943836,THY104,THY,FSC,LTBA,OEMA,1237,D,2014-09-12 12:40:00,2014-09-12 16:05:00,A332,230,H,TCJNV,224,199,dep,0,35250.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,0,CSN078
729,52798,180214817,THY_EKBIEKYT01,AA34943835,THY1349,THY,FSC,EKBI,EKYT,85,D,2014-09-12 12:40:00,2014-09-12 13:25:00,B738,75,M,TCJHO,151,147,dep,0,44511.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN101
730,52799,180214818,THY_LTBALIMC03,AA34943845,THY3KF,THY,FSC,LTBA,LIMC,919,D,2014-09-12 12:40:00,2014-09-12 15:40:00,A321,87,M,TCJSH,168,159,both,0,46059.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN063
731,52800,180214819,THY_LTBALTCK01,AA34943846,THY7RN,THY,FSC,LTBA,LTCK,607,D,2014-09-12 12:40:00,2014-09-12 14:06:00,A320,74,M,TCJUG,133,129,dep,0,47145.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN147
732,52801,180214820,THY_EVRALTBA01,AA34943844,THY1758,THY,FSC,EVRA,LTBA,977,D,2014-09-12 12:40:00,2014-09-12 15:35:00,A319,67,M,TCJLM,110,118,both,0,45512.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN137
733,52802,180214821,THY_LSZHLTBA04,AA34943847,THY1914,THY,FSC,LSZH,LTBA,952,D,2014-09-12 12:40:00,2014-09-12 15:35:00,A321,87,M,TCJRS,168,176,both,0,45513.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN044
734,52818,180214837,THY_ULLILTBA01,AA34947965,THY13F,THY,FSC,ULLI,LTBA,1133,D,2014-09-12 12:40:00,2014-09-12 16:06:00,B738,75,M,TCJHU,151,153,arr,0,43785.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN213
735,52939,180214958,THY_LFBOLTBA01,AA34943521,THY7GJ,THY,FSC,LFBO,LTBA,1225,D,2014-09-12 12:30:00,2014-09-12 16:03:00,A320,74,M,TCJPD,133,116,both,0,44045.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN157
736,52943,180214962,THY_EDDMLTBA03,AA34943967,THY1KH,THY,FSC,EDDM,LTBA,850,D,2014-09-12 12:45:00,2014-09-12 15:20:00,A320,74,M,TCJPB,133,135,both,0,46054.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN089
737,52944,180214963,THY_EDDPLTBA01,AA34943968,THY3TB,THY,FSC,EDDP,LTBA,929,D,2014-09-12 12:45:00,2014-09-12 15:40:00,A320,74,M,TCJPR,133,132,both,0,46056.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN058
